FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn\model_selection\_classification_threshold.py;837;10;166;25;4;2.32;5.0;5;1;26;15;0
./scikit-learn/sklearn\model_selection\_plot.py;736;6;138;7;3;2.29;2.33;2;0;19;13;0
./scikit-learn/sklearn\model_selection\_search_successive_halving.py;891;40;188;14;4;2.21;3.25;7;0;29;12;0
./scikit-learn/sklearn\model_selection\__init__.py;88;4;6;1;0;1.0;0.0;2;0;3;8;0
./scikit-learn/sklearn\neighbors\_classification.py;696;42;143;11;2;2.09;5.0;6;0;63;13;0
./scikit-learn/sklearn\neighbors\_graph.py;598;9;121;14;2;2.21;5.0;1;0;7;12;0
./scikit-learn/sklearn\neighbors\_kde.py;310;15;56;7;1;2.43;7.0;2;0;15;14;0
./scikit-learn/sklearn\neighbors\_lof.py;420;10;96;13;1;1.85;13.0;4;0;10;10;0
./scikit-learn/sklearn\neighbors\_nca.py;445;28;84;8;1;2.5;8.0;5;0;38;16;0
./scikit-learn/sklearn\neighbors\_nearest_centroid.py;177;17;39;3;1;2.33;3.0;3;0;12;10;0
./scikit-learn/sklearn\neighbors\_regression.py;410;14;100;7;2;2.14;3.5;0;0;12;12;0
./scikit-learn/sklearn\neighbors\_unsupervised.py;143;1;33;2;1;2.0;2.0;0;0;1;8;0
./scikit-learn/sklearn\neural_network\_base.py;175;4;60;12;0;1.58;0.0;0;0;3;11;0
./scikit-learn/sklearn\neural_network\_rbm.py;370;11;85;12;1;2.33;12.0;0;0;12;14;0
./scikit-learn/sklearn\neural_network\_stochastic_optimizers.py;229;2;58;10;3;3.2;3.33;0;0;10;11;0
./scikit-learn/sklearn\preprocessing\_discretization.py;375;15;90;6;1;2.33;6.0;4;0;32;14;0
./scikit-learn/sklearn\preprocessing\_function_transformer.py;346;12;70;12;1;2.0;11.0;3;0;37;14;0
./scikit-learn/sklearn\preprocessing\_target_encoder.py;456;10;75;10;1;3.8;10.0;1;0;17;11;0
./scikit-learn/sklearn\semi_supervised\_label_propagation.py;515;21;108;11;3;2.0;3.67;1;0;19;13;0
./scikit-learn/sklearn\semi_supervised\_self_training.py;343;14;74;9;1;2.56;7.0;1;0;18;12;0
./scikit-learn/sklearn\svm\_bounds.py;77;4;18;1;0;2.0;0.0;1;0;4;11;0
./scikit-learn/sklearn\tree\_reingold_tilford.py;154;14;34;17;2;2.0;4.5;0;0;40;10;0
./scikit-learn/sklearn\utils\class_weight.py;187;13;37;2;0;1.5;0.0;6;0;31;13;0
./scikit-learn/sklearn\utils\deprecation.py;103;12;32;10;1;1.4;5.0;2;0;14;10;0
./scikit-learn/sklearn\utils\discovery.py;231;22;34;5;0;0.6;0.0;1;0;35;12;0
./scikit-learn/sklearn\utils\extmath.py;1162;87;229;21;0;2.05;0.0;4;1;78;11;0
./scikit-learn/sklearn\utils\graph.py;141;14;25;2;0;4.0;0.0;2;0;16;11;0
./scikit-learn/sklearn\utils\metaestimators.py;135;17;30;6;1;2.83;5.0;5;1;25;12;0
./scikit-learn/sklearn\utils\parallel.py;103;5;26;7;2;1.43;2.0;0;0;4;8;0
./scikit-learn/sklearn\utils\random.py;83;7;20;1;0;4.0;0.0;3;0;8;11;0
./scikit-learn/sklearn\utils\sparsefuncs.py;612;15;133;18;0;2.33;0.0;10;0;78;12;0
./scikit-learn/sklearn\utils\stats.py;56;4;13;1;0;3.0;0.0;0;0;7;10;0
./scikit-learn/sklearn\utils\_available_if.py;77;5;16;5;1;2.2;3.0;2;1;4;9;0
./scikit-learn/sklearn\utils\_bunch.py;55;9;12;7;1;1.86;7.0;1;1;3;9;0
./scikit-learn/sklearn\utils\_encode.py;289;11;78;15;3;1.73;2.0;5;2;74;12;0
./scikit-learn/sklearn\utils\_estimator_html_repr.py;430;21;66;12;3;2.42;2.33;0;2;37;13;0
./scikit-learn/sklearn\utils\_mask.py;140;6;38;5;0;2.2;0.0;1;0;12;9;0
./scikit-learn/sklearn\utils\_mocking.py;332;11;78;28;5;2.07;5.2;3;0;35;12;0
./scikit-learn/sklearn\utils\_optional_dependencies.py;34;2;8;2;0;1.0;0.0;2;2;3;8;0
./scikit-learn/sklearn\utils\_plotting.py;77;0;22;5;1;2.4;3.0;1;0;13;11;0
./scikit-learn/sklearn\utils\_response.py;252;8;62;4;0;2.5;0.0;5;0;26;12;0
./scikit-learn/sklearn\utils\_tags.py;59;0;9;1;0;2.0;0.0;1;0;5;11;0
./scikit-learn/sklearn\utils\_user_interface.py;43;2;11;2;0;2.5;0.0;0;0;3;10;0
./scikit-learn/sklearn\utils\__init__.py;106;10;16;2;1;1.0;0.0;1;0;4;7;0
./scikit-learn/sklearn\_build_utils\pre_build_helpers.py;60;8;15;2;0;1.5;0.0;1;1;8;13;0
./scikit-learn/sklearn\_build_utils\tempita.py;41;2;16;2;0;1.0;0.0;2;0;6;11;0
./scikit-learn/sklearn\_build_utils\__init__.py;91;18;25;3;0;0.67;0.0;2;1;10;11;0
./scikit-learn/sklearn\__check_build\__init__.py;43;5;8;1;0;1.0;0.0;1;1;5;10;0
